video_id,title,comments
q3DgPXUmgcU,Paris,I love your spirit❤ | ❤❤❤❤ | To formidabile linzy | salut linzy sa va | Brs linzi sa faire lontemp pa tan toi  toujours  f....
TX15VWntlms,Priye Bondie,One of my favs Thank you from Melbourne! | Gold reste Gold❤ nostalgie😍😎 | ❤❤❤depuis tte petite j'adore cet chanson | 2024 mem 2100 aussi❤❤ | Pepite❤ | ♥️🙏🏾🔥🕊
A3X3FO1pCjo,Pot Pourri,
2AcEIBKk1tM,Fam Exampler,Merci pour ces paroles qui résonnent particulièrement en moi ! Gratitude ❤ | My favorite song ❤❤❤ | Fort sa morceau la !!❤ | Bonjour de l'île de la Réunion 😉
W5ttACkBnGo,Die Ti  Kre L'homme,KADENCE LA SÉRIÉ/PAROL LA SÉRIÉ....🔥🔥🔥 MERCI🙏🏾 | kot sa lepok linzy pe vinn chante hotel paradis kots moti pe servi manger linzy mo la corse mo pe ecoute sa sega la respect linzy | Merciiiii❤ | Une pépite le son ❤ | merci bien lontan mo p rode sa ❤❤❤❤❤❤ | ❤️❤️❤️🔥🔥🔥🔥🔥 | Svp enn kikenn kapav écrire bann paroles la merci 🙏
GxB5ptJxyVU,LinKwi S2 OH OH,
TqcgNTs1Aak,LinKwi Teaser,
QjRPHEUw2d4,LinKwi S2 EP 6  - Diri Safrane,
oofGCAIHcb8,LinKwi S2 EP 5 - Spaghetti Vinday Thon,
p-TOO8FVkxk,LinKwi S2 EP 3 - Katiamoos,
_nabHlXNBc8,LinKwi S2 EP 2 - Kari Bred Mooroom - Pwason Sale -  O Lait de coco,
xOzhU-HXX8s,LinKwi S2 EP 1 - Gamm,
bvj9Jg0hWAw,Linkwi S2 Intro,
zlE-nK79Yk8,LinKwi S2 EP 4 - Biskwi Otmil,
