video_id,title,comments
vxpYi2dvTlo,Maho - Ole Moris (55th Independence Anniversary of Mauritius),
yH9Umd3HYfs,Brinda & ZBS - Nou Danse,Aaa la la  Nou Danse Nou Sante 💃🏾💃🏾💃🏾💃🏾💃🏾🔥🔥🔥🔥🔥 | 🔥🔥🔥🔥🔥🔥🔥 | 🔥❤️💙💛💚🔥 | 🔥🔥🔥🇲🇺🇲🇺🇲🇺 | ❤️💙💛💚 | Honestly such a wavey tune! 💃🇲🇺 Hella good vibes!! 🙌🔥 | 💥💥🔥🔥🇲🇺🇲🇺 | Still listening to this everyday to start the day! Keep it coming guys 🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺 | nou danse 💥💥 | Wow lovely song 🇲🇺🇲🇺 | Great song 🇲🇺🇲🇺🇲🇺❤❤ | Love this 💃 dancing to it for independence day 🇲🇺 | Nice  tube
xFZlPRSqZBM,Wilson Felix - Tioulamental,"love the ravanne beats! | j'adoooooooooooreee !! moi j'ai le cd de harbour music, j'écoute cette piste en boucle"
B2DbbCMf5Tk,Dalon - Bal Makatia,heheeheheheheh depi lontemps mo ti p rode saaa la mizik laaaa  top net saaaa | rodriguais sa ein..
rXGL2vqadcw,The Prophecy - Bless Li,"👏👍👍 Merci frere ..mesaz la Canon ,,touce le ker buku dimun ..MAMA li ene bon DIEU pu tou zenfant ...nu bizin done zot buku lafection et  lamour ...si nu maltrait mama papa ..nu pu trainer avec nu lakler lenfer dan nu poche kokin mo frere ....👏👍💝💟💗💜 | La voix la mons!! Mervin meilleur chanteur 21eme siecle❤ | Just Awesome ..Ouffff blissful voice God Bless! | Very nice song , when all things going wrong around , this song give hope | Love this song big💯 respect 🔥  From Canada👍 | Beautiful song..Message là bien fort..Top🖒 | roots the roots.yes yes.wiwi.sisii.exceptionnelle.pe ecout sa tou lé jour.bien bien.là voie du bien être.. | Blessed Sante la Faire gagné frissons quand ecoute🥺 | Amoooooooooooooooo até o infinito ❤️ | Mo estra kontan sa sante la big up 💖👍💘💞💔😘😻 | mari zoli texte,big up Murvin. | We are going to cry :-( | Amo esse som | Sa ki li mo mari kontant sa sante💔 | Yes I❤ | Votre voie  et super prophecy | song la terne kan mo senti moi tousel mo ecut sa....si zordi mo ti ecout peut etre😭😢😭😭😢 | Mo maman 🧡❤❤❤❤❤🧡🧡🧡🧡💙💙💙💙💙💙💙 | quelle voie ♥♥♥ | Amei 💓😍 | belle voix | Uma pedra❤ | Woa to net la voie la turrrrrrrrrrrrrr | wow très belle voit | ❤ | 😢❤ | Alguém em agosto 2024? | Joli voix | 💕💕💘💘 | 😎😎 | Big Up!! Which Riddim is this? | Queria saber como fasso pra achar no insta esse som😢 | Alguem pode mim ajudar? | Je te kiff trop Lol | ;("
sHm1a78JvZI,Cassiya - Liberte Zom,"Love from Oman♥️ | Good for October, November to February.  Summertime | Cassiya❤️ | Mauritian music at its best | To message important desire | Magnifique! !! | Listening to it in 2021 | Bonto"
-VJkGuG_Sx8,Claudio & Le Satanik Group - Mister Joe,"Make me remember my past | Té koué la fé, promié fwa a moins ké lé in roomiix lé rar klodyo dan styl la"
Cx2qM6-rmIs,Bruno Mooken - Profitere,C des très belle chansons
4yY8ApEbbFU,Alain Ramanisum - Sega Sexy,Bein bon Mauritius 🇲🇺 stay blessed with you always lots love 777 ❤🎉 | Alain King Of Sega !! | wooooo koza mauriceee nissa la minte | this is mauritian SEGA!! oleo oleo atimama mama ti mama ole ole ole ola ola.With a melod behind.you become a star....of course you'll need some practive n some wine... | trop bon sa...... | MO CROIRE ALAIN MM PA CONE LYRICS LA FRERE ... | Je vous adore | top sa | vraiment chui mauricienne j'aime pas trop le sega mais chapeau pour celui-la!<  | tro top sa  | tro bon sa sng la!  | bonto muzik la..mange r li alain  | chante la en gogot al aprand danse sega alail ramanisium | lyrics : titimamamamatitimamamamama ah ti mama etc etc..... | gogot net  | <3 | sante la en gogot net.reolay mwa avant to fer en lot sante | monte* | al chant tik tike sil te plait | chante la en gogot | malad sa son la!!! resP a tw alain ramanisum!!!
Smbx1sdkmvw,Alain Ramanisum - Prisonnier,"2024?still gold | Alain Ramanisum est un segatier tres apprecier il chante tres bien et j'aime beaucoup cette chanson Bravo et bonne continuation  ❤😂 | Courage Bruneau !!! Nous cner li pas facile mais mange ar li, to ene soldat toi !!! | Alain Ramanisum me fait aimer l'île Maurice tellement tellement ! à avoir des amies et amis dans une petite case près de la mer (surtout pas l'hôtel), des gens du peuple, à danser sur la plage, à aller à la messe et prier avec eux et chanter et danser et tout ça; je rêve !, Alain c'est l'âme et l'authenticité du peuple mauricien et j'aime beaucoup; merci Alain Ramanisum. Que Dieu bénisse tous les prisonniers et leur donne de l'espoir ! Que Dieu bénisse Maurice et tous ses enfants ! | 2025  ❤❤  zot la mem??? | 2021 who? Classic golden era | ALAIN is always the shining star in Mauritius | So frère ki konpoz sa morso la,Désiré Ramanisum li apélé 👌👌👌 | Félicitations mon frère bon dieu beni toi et ta famille nous grand chanteur de l'île Maurice | 2020 zot la meme??? | Je ne comprends rien mais c'est entraînant ,j'adore ces rythmes soleil .👍🏻👍🏻👍🏻 | 2021 🇷🇪 toujours présent 🇷🇪 | J'adore cette chanson. La réalité de la vie mondial. Partout le pareil camarades . Même si hors de prison ont à l'impression d'être libre , les capitalisme sont là. | Who is still listening this song 🎵 me❤ | Vos chansons  sont  très très belles des jolie  texte  félicitation | Merci beaucoup ! | de rien mec..ce fut un réel plaisir..de plus c une de mes chanson préférés | Who's here in 2020 !!! Show  some love | Magnifique❤ | I am impressed by the culture and landscape of Ile de La Reunion. | Bonjour j adore ce très beau chant Alain et ses musiciens sont très simples et efficaces dans ce chant les mots sont bien de la réalité continue comme ça mon ami et toutes ses musiciens je vous adore bien | Je réécoute cette chanson (que je connais) par hasard. Kréyol Martinique et puis Keyol La Reunion ça pa mêm bagay. Pourtant je comprend! La mélodie du chant est superbe. Cette chanson me touche vraiment. Merci Alain Ramanisum | 2021 woh? Classicisme golden era | Ôté chanson là,reste à jamais gravé dan mon vie....Merci Alain... | ❤ merci mon chaton !❤ magnifique chanson❤ | Le meilleur segatier de l'île Maurice | 2019 toujour laaa force alain 💪 | Awesome arrangements... | Ane Alain is the spiritual of Mauritian Sega traditional... each words are so powerful and emotional... Hatss off to you and Ur team... 🙏 | Very nice song | Memories 2009🥲 | Nice song 👊👊 | Super parole very touching 2018 still listen sa music la just woow frisoner av sa prisonier ..❤💙💛💚 | 🌴2023 toujours là 🌴 | Merci ! | Merci a to grand frere kine ecrire bien inspirée sak fois mo ekoute sa leker gro | Excellent. Bravo Alain  | 2022 who?  Classic golden era | Félicitations mon frère | Alain so frer ki compose sa chanter la,li ti kondané | Super titre et très bon clip | Heart breaking song | ❤❤❤u r a wonderful  singer😅 | Un des meilleurs classique parmi tous les segas. Sa voix est superbe et j’adore | Very nice sega | very nice , you're the best | Nous grand représentant du sega de l'île Maurice le meilleur chanteur  félicitations | Superbe  chanson  mon ami  chante cela souvent  bonne  continuation à  toi et à  laura | Bella canzone..Bravo Alain | Bravo 😢 | For all who has ever went there ❤❤ ❤❤❤❤ | Keep it up alain | Azordi 31 desam 2024 mo dédié sa pou  mo frère mo disan ki là-bas 😢❤ | Tres touchant😢😢 | Great 🎵 | Tres belles paroles encourageantes😂❤ | 2024 still listening | 2023 mo enkor p ecout li | 1/5/2023 who is here for the international journey of labour? | dedicass pou tou bane prisonier pas bess lebras fer bcp la priyer , et pas bliyer tant ki ena lavie ena lespoire  | j'adore, un chanteur génial  superrrrrrrrrrrrrrrrrrrrrrr | que des bon souvenir | 2024 toujur p gard patience | God bless... Stil zis song hurts! | Top sa | Restp old is. gold 🎉🎉🎉❤❤❤❤ | d'or pur | Top❤❤ | Également quand tu chante sa tas tu rencontré grave merci | 2025 toujours présent | merci pu ca video la | 2023 still on ❤❤❤❤..... | ❤❤❤❤❤mm en 2025 mo extra kontnt sa sega lq | Thank you for this lovely song  🤩🤩😍😍❤💙💛💚 | Respect ❤️❤️❤️❤️❤️ | Mo bien konton ca sega, li bien sentiment et so parol fer l'arm coule | manz ar li alain | Magnifique chanson j'adore et hommage à monsieur Xavier figaro (batteur du groupe ravanna)qu'il repose en paix 🕊🕊🙏🙏🇲🇺🇲🇺🇲🇺🇷🇪 | Hello Mauritians- love you all. Please add the lyrics so I can remember my Creole. x | La danseuse a un tres beau dehanche Bravo au chanteur et aussi a la jolie danseuse 😊❤❤❤😅😂 | Big 2021 🙏🙏🙏 | Waaaaouu prisonnier bravooo je kiff😍😘😘😘😗😗😗😍 | He can sing and good sega | 👍marlene. | 2k23 🎉 | Tellement vrai quand ol l a vécu frère | Un prisonnier reste un prisonnier, mais cette chanson reste une perle. Dans le même lignée il y avait aussi la chanson de PASSI - ""Le maton te guette"". Toujours de belles chansons Ramanisum, Cassiya ...(et les autres). Si tu as l'occasion de mettre d'autres vidéos de séga, penses à moi : la traduction. Merci !  | Poignant ce titre ....  | 03/03/2025 am still here baby! | Trop  vrat mon frere | 2019 ❤️ | Je suis toujours la en 2020 | Top   top    Sega    😍😍😍😍😍😍 | Skip to 1:02 | J'adore ... | Top    Sega      👍 | plein d'émotion | Wai Alain | 2020 🔥 | 2k19 li encore monse sa son la"
Sei91CPN8Ow,Grup Latanier - Gaby,"His voice is incredible and his voice is heart touching I love this version and I love the original version 🇲🇺🇲🇺💕 | merci a Grup Latanier pou fer nou leker kontan. pas kave expliker sa vibrasyon ki gagner kan ekoute zot santer. zot paroles ena extra profondere, ki malerezement buku zenesses zordi zour pas prend la peine pou ekouter.  | mo fiere de mo ti pays...  nune produire bku zoli sanT kot bne parole la fort.. rien a dire...  1 classic sa ... <3 | Ça ki appelle séga!!!  Zoli travaye.  Merci. | MANY THANKS , PROUD TO BE A MAURITIAN ,BIG RESPECT BRO, KEEP IT UP , THE JOGANAH BROTHERS ARE LEGEND ,MAY GOD BLESS EVERYONE WITH PEACE AND LOVES ,👍🇲🇺🇲🇺🇲🇺 | Toujours dan nou leker😍❤️❤️❤️❤️ | The voice is heart touching, the song is inspiring, the singer is a legend | 2025 still in love old is gold ❤❤❤❤❤❤❤ | ça me touche tellement!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!a chaque fois!!!!!!!!!!!!!!!!!!! | Respect the boss | One of my favourite... | Great song | Top sa son la................ | This song mixture of emotion Happiness  truth, sadness etc | Sega longtemp la 1 lot em sa ❤ | big fan bhai❤❤❤❤ | trop bien | Un  Big Up pour chacun de vous | Avk Grup Latanier pa badiner  | Kot sega zenfan soweto zot fine enleve li | Joli | 2019? | 💛💛💛💛💛💚💚💚💚 | Pena zot 2nd et mo pa croir pu ena👍 | Li bien zoli kan nou truv 1 tas communaute marier piker pou fer 1 zoli sega coume sa.  | samdi 2 nov grup latanier en live a locassion deepavali tamil nite au domaine du moulin  | sanT la whoaaa net... | Personne pna sa concert la en entier? Try upload li! Met 1 p lamour dan nu lecoeur kan nu loin ek nu ti moris | Hey, ena 1 sanT ""Dan la vie"" dan sa dvd la. pna 1 sanss pu upload li? | 🇮🇹"
pGGecHSvR4s,Jean-Claude Gaspard - Defouler,"Enjoying Mauricien la music, stay blessed xxxxxxx | Magnifiques souvenirs et nostalgie.... | Stay blessed all creoles with you always lots love stay abundantly blessed im the MOST HIGH GOD OF ISRAEL STAY STRONG AND FRIM AND ROOTED AND FRIM SHINE LIGHT THROUGHOUT THE FOUR CONNERS OF THE WORLD 🌎 JOY, LOVE, JOY REIGNS SUPREME THROUGHOUT THE FOUR CONNERS OF THE WORLD WIDE 🌎 RISSE YOUR VIBRATION AND FREQUENCY THROUGHOUT THE WORLD WIDE 🌎 LOTS LOVE MUARICEN ❤️ 🎉 | NICE | merci pour le partage :) | Trop bien | c la k c bon!"
j3ZwQlZKwEc,Jean-Claude Gaspard - Content Content,"Joli souvenir !!! ❤ | Can't wait to visit Mauritius. Stay blessed, love lots thsnks feeling the seaga. Bein bon. 777❤🎉 | Ecout ça.......Nous Fierté Creol Pas pou éna so deuximme ca Vive Jean ClaudeGaspard <3 Simply The Best <3  | ❤😂😢😢😮😅 Bonjour frère le meilleur segatier de l'île Maurice  Ene grand dimoune ene compatriote ene grand chanteur | Ala mo content content top nous Jean Claude❤ | Vie Mauricien, with you always love you lots.❤🎉XXXXXXX | You are the best Jean-Claude Gaspard <3 | Nou fier nou sega... vive jc Gaspard et tou les autres artistes...😍 | The best Jean Claude Gaspard | COOL | Mi aime toute out  banne Sega ça faire moi contente. | 🔥🔥🔥🔥🔥🔥🎶🔥🔥🔥🎶❤️❤️❤️❤️ | One and only super 💖💖💖💖 | ❤️💙💛💚 | 777❤🎉 stay MAURITIUS 🇲🇺 | ❤😂🎉😢😮😅"
XA1T8OoKRMM,Balik Taroo - Macifone,"Cet excellent séga est infiniment touchant et prenant. "" Maladie vine pou ti cabri, ti mouton couma ramasse sa ? "" Bravo!!! | 👍👍👍 SEGA ENE SOUVENIR KI NU BAN ANCENTRE FINE KIT PUNU....MO FIERE MO ENE MAURICIEN....NU BIZIN PRESERVE LI.... MERCI MR BALIK TAROO...SEGA LA TOUCHE BUKU BAN LE KER MAURICIEN... 🙏🙏🙏💙💜💛❤️ | Merci 1000 fois pour le partage.  Longue vie à Maurice. | fantastic live version of this song. merci buku ek buku l'amour. many many thanks  | Mari top | superb net!!!!! grand merci....:) | Sa sega❤❤ | Super | Installer sonneries | merci bauceau | Mo content toi to chante bien | Joli net"
qdUgOwMTAYI,Ino Nakeed - Molmole,"RIP.One of the best of Mauritius has gone.Always a pleasure listening to his voice. | De la Réunion🇷🇪, Repose en paix Mr Ino 🎶🎵🙏🏽🙏🏽🕊 | Was in my ward 2.4 at jeetoo hospital.... Was a pleasure to take care of him 😭 | RIP Ino 😢 | Great work rip | Am your biggess fans sir..rip | RIP Ino Nakeed | Repose en paix..les meilleurs s'en vont😔 | Parole mari seryer. Mai chapeau a cinetography 😍  Mari seryer 😍 | Sa li mo sega prefere depi mo ti baba! O milye la nuit ti p dir mama papa met K7 zwe 👆 | R.I.P 🙇🏽‍♀️ | Super legend 🙏 | Mon préférer..J'adore trop 😍 | Anita cuit farataaaa 😭😭😭🕊 | Oh my God I liston to him in South Africa 😢😢😢😢 | She'll never cope with what she's built. | R.i.p legend ☝️ 😔🇲🇺 | R. I. P | Merci frere to ban message Dan to chante  vraimem Montreal to en fisl de dieu vivant | R.I.P Ino | Toujours avec un plaisir d.ecouter ce sega bonne ambiance ❤ | Magnifique 🔥👍🙏🏼❤❤❤❤❤❤ inoubliable.  Chante pour eux la haut 🙏🏼🙏🏼🙏🏼👏👏👏👏 | You are still the best am so 😥  rest in peace  gentlemen  R .I .P | Meilleurs  chanteurs  dommage | Superb | My respect from Kazakhstan 😎 Hitmaster mr.Worldman #2019DALE | I came across this by accident, I don’t understand anything.. But my God, I just love the rhythm.. What country is that ? I know it’s NOT French but a broken French … AMAZING ♥️♥️♥️ | July 2k24🎉 | why are some people just sitting there looking bored. LOL this song is #fking amazing | we will dance again when we beat this Covid-19, be safe lets hope we will be  all right :) | A. Legend! | TOO GOOD,TI MARI DANSER LOR SA SEGA LA, RESPECT | Rest in peace | Ino naked misère dans mon pays | Rip ino | RIP INO une voix inoubliable | Rip boss | 2025❤️ | awesome | Rip😢 | Big respect to u sir Rip | Au top | This planet isn't worthy of me. 8 billion looking us. I'm ready to go....... she has nothing to offer me. | Topppppp | R.I.P INO💔💔 | Bnjr❤❤❤❤❤ | Decembre 2024🎉😊 | Bonjour sava dieu et la avec vous amour❤❤❤❤❤❤❤❤bless et fête bonne fete fada❤❤❤❤❤❤🎉 lol | ETA mo tonton😪💔 | Pour ma VIVIE elle aime le sega | NICE | Top net sa 😂😂😂 | 1:17 - 1:18, what's with the mug,so gloomy when everyone else is jammimg happily to the vibrant beat. | ❤ | Fé danss bana lao | Too❤❤❤ | Done moi sa la main la do,, moi si mo konten MOLMOLE | Bouje', tourne', pile',tourne',.....chowki, belna...only a mauritian can understand these words!!!! | Cki mo plus kntn dans sa video la, c zot tous p amuse zot... ComparE a zordi kot mauricien honT pu danC e zot pu nek point ledoit e dir ""dimoun p fer villain"" | Non line décédé 😢😢😢 | Rip | top | kaise | Sa ki li mete nisa😂😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉🎉 | ❤❤❤❤ | boug la p met ene nisa lor podium tou dimoun p asizer geter??? wtf??? al concert pou asizer?? | Pu bann mauritian sa | bien amusant  | Llelle k hñjehova lod bendigas alos  molmole | Cyclone la mole molé 🌀 | Vous etes notre patrimoine mauricien | Repose en paix 🙏 | Sa ki li.  Alé maurice | 🎉🎉🎉🎉🎉 | Ena 156 pilon  pa content  sa sega lhein ena inper bezer la | J'aimerais avoir les paroles svp? | sa ki li....nissa la monte!!! Vive Lile Maurice>>>> | Sega pas capav assize gueter sa. | Sava | Vivo k ta | Top😘😘😘😘😘❤❤❤ | 😥 | Sega sa so best metez nisa | roti mw mo four,...!! frire mw carraiye,..!!  | Ids | बहुत बढ़िया | Brown Kevin Harris Charles Walker Betty | Pir | *Molmole* 😂😂😂bel yen sanT la | P | bane zome la torse nu pas zoli di tou | 🤣🤣🤣 | perver | M | RIP🥺 | Rip | Rip💔 | Rip"
sooqqMd8Avc,Denis Azor - Wachi Wala,"Trop trop belle chanté mo frère Mauricien,merci pour cette magnifique chanson et félicitations aux musiciens merci Mr Denis Azor. djef974 de Bordeaux. 🇷🇪🇷🇪🇷🇪🙏🏻🙏🏻🙏🏻🇲🇺🇲🇺🇲🇺a nou ensemble mo frère Mauricien. | Rien à dir magnifique | makes me think of the times | Trop zoli souvenir sa.... mo revive mo lenfance ❤ | Souvenir des années 80! 🥰 | J'adore 🌴🌺 | J'adore génial 🌴 | Bravo. Ton ton. | bravoooooooo  | Magnifique artiste | Au top ! Sega immortel | 🎉❤💝 | sweet memories ^_^  | trop bon   | mAri seryer sa ton"
aN0zdogw1AY,Cassiya - L'Accorite,"Great music never die. | 2021 Toujour p ecouter 🎼💕 | Tjr j'écoute  la musique  la en 2019...👍 | "" Zamè ki nou divisé ! ""           ""mo prié Bon Dié, pa prié lé Mal ! "" | Super sega, j'adord trop | lui c un chanteur indetournable | J'adord trop biennnnn | Mw mo le coné couma pou ena la paix❤️❤️❤️ désiré ki p dir sa | tjrs au top en 2019 | cause desire ...thumbs up ...tjour aussi bon a entendre | 2019 to message enkor p paC kam | Mo écoute sa musique la encore en 2018,.👌 | C bon"
Q9iY2-qqZu4,Georges Armelle - Missier Mo Bourzois,mo prefere sa | bien dir sa !!!!!!!
nQ5YaU7c3jA,Sugarbeat - Ayo Madame,❤
H7rnMM_O7eM,Jean-Claude Gaspard - Pile Pile,super!!!!! merci segatunes! <3 | souvenirs!!!!  | Goal
